id ; iName ; eng ; jpn ; tchi ; schi ; kor ; fre ; ger ; spa ; ita ; dut ; rus ; color ; size ; 
004F ; FtrBabybed ; baby bed ; ベビーベッド ; 嬰兒床 ; 婴儿床 ; 아기 침대 ; lit bébé ; Babybett ; cuna ; lettino ; babybed ; кроватка ; Beige ; 1_0x1_0
011F ; FtrExercisebike ; exercise bike ; エクササイズバイク ; 健身腳踏車 ; 健身脚踏车 ; 자전거 머신 ; vélo d'appartement ; Fahrradergometer ; bicicleta estática ; cyclette ; hometrainer ; велосипед-тренажер ; Black ; 1_0x1_0
0122 ; FtrRunningmachine ; treadmill ; ランニングマシン ; 跑步機 ; 跑步机 ; 러닝 머신 ; tapis roulant ; Laufband ; cinta de correr ; tapis roulant ; loopband ; беговая дорожка ; Black ; 2_0x1_0
0124 ; FtrKitchenStainless ; kitchen stove ; ちゅうぼうのコンロ ; 廚房瓦斯爐 ; 厨房瓦斯炉 ; 음식점 가스레인지 ; cuisinière resto ; Gastro-Herd ; cocina industrial ; cucina da ristorante ; fornuis ; кухонная плита ; Gray ; 2_0x1_0
014A ; FtrBarbecuegrill ; barbecue ; バーベキューグリル ; 烤肉爐 ; 烤肉炉 ; 바비큐 그릴 ; barbecue ; Grill ; barbacoa ; barbecue ; barbecue ; гриль ; Red ; 1_0x1_0
014B ; FtrBirdbus ; birdbath ; バードバス ; 小鳥水盆 ; 小鸟水盆 ; 수반 ; bassin à oiseaux ; Vogeltränke ; bañadero para pájaros ; vaschetta per uccelli ; vogelbad ; поилка для птиц ; Brown ; 1_0x1_0
014D ; FtrBirdhouse ; birdhouse ; すばこ ; 鳥巢屋 ; 鸟巢屋 ; 새집 ; abri à oiseau ; Vogelhaus ; casita para pájaros ; casetta per uccelli ; vogelhuis ; скворечник ; Brown ; 1_0x1_0
014F ; FtrFlamingoMale ; Mr. Flamingo ; おすのフラミンゴ ; 雄紅鶴 ; 雄火烈鸟 ; 수컷 플라밍고 ; M. Flamingo ; Mr. Flamingo ; Sr. Flamenco ; fenicottero 1 ; meneer Flamingo ; г-н Фламинго ; Pink ; 1_0x1_0
0150 ; FtrFlamingoFemale ; Mrs. Flamingo ; めすのフラミンゴ ; 雌紅鶴 ; 雌火烈鸟 ; 암컷 플라밍고 ; Mme Flamingo ; Mrs. Flamingo ; Sra. Flamenco ; fenicottero 2 ; mevrouw Flamingo ; г-жа Фламинго ; Pink ; 1_0x1_0
0152 ; FtrLawnmower ; lawn mower ; しばかりき ; 割草機 ; 割草机 ; 잔디 깎기 ; tondeuse à gazon ; Rasenmäher ; cortacésped ; tagliaerba ; grasmaaier ; газонокосилка ; Red ; 1_0x1_0
0157 ; FtrTorch ; tiki torch ; たいまつ ; 火把 ; 火把 ; 횃불 ; flambeau ; Fackel ; antorcha ; torcia ; tuinfakkel ; факел ; Brown ; 1_0x1_0
017F ; FtrAcorsticguitar ; acoustic guitar ; アコースティックギター ; 木吉他 ; 木吉他 ; 어쿠스틱기타 ; guitare acoustique ; Akustikgitarre ; guitarra acústica ; chitarra acustica ; akoestische gitaar ; акустическая гитара ; Beige ; 1_0x1_0
01AB ; FtrCafeSiphon ; siphon ; サイフォン ; 虹吸式咖啡壺 ; 虹吸式咖啡壶 ; 사이폰 ; cafetière à siphon ; Siphon ; sifón ; caffettiera a sifone ; sifon ; сифон ; Gray ; 1_0x1_0
01AD ; FtrCafeCoffeemill ; pro coffee grinder ; コーヒーグラインダー ; 磨豆機 ; 咖啡研磨机 ; 커피 그라인더 ; moulin à café pro ; Profi-Kaffeemühle ; molinillo de café profesional ; macinacaffè pro ; professionele koffiemolen ; профи-кофемолка ; Red ; 1_0x1_0
020A ; FtrSkeleton ; creepy skeleton ; がいこつ ; 骸骨 ; 骸骨 ; 해골 ; squelette lugubre ; Gruselskelett ; difunto pavoroso ; scheletro horror ; luguber skelet ; жуткий скелет ; White ; 1_0x1_0
020D ; FtrOneroomBox3x2 ; FtrOneroomBox3x2 ; FtrOneroomBox3x2 ; FtrOneroomBox3x2 ; FtrOneroomBox3x2 ; FtrOneroomBox3x2 ; FtrOneroomBox3x2 ; FtrOneroomBox3x2 ; FtrOneroomBox3x2 ; FtrOneroomBox3x2 ; FtrOneroomBox3x2 ; FtrOneroomBox3x2 ; None ; 3_0x2_0
020E ; FtrOneroomBox3x1 ; FtrOneroomBox3x1 ; FtrOneroomBox3x1 ; FtrOneroomBox3x1 ; FtrOneroomBox3x1 ; FtrOneroomBox3x1 ; FtrOneroomBox3x1 ; FtrOneroomBox3x1 ; FtrOneroomBox3x1 ; FtrOneroomBox3x1 ; FtrOneroomBox3x1 ; FtrOneroomBox3x1 ; None ; 3_0x1_0
0212 ; FtrHariboteGrass ; grass standee ; ハリボテのくさ ; 草叢道具 ; 草丛道具 ; 연극용 잔디 ; herbe en carton ; Pappgras ; hierba de atrezo ; sagoma di erba ; decoratiegras ; бутафорская трава ; Green ; 1_0x0_5
0213 ; FtrHariboteHedge ; hedge standee ; ハリボテのいけがき ; 樹叢道具 ; 树丛道具 ; 연극용 산울타리 ; buisson en carton ; Pappbusch ; seto de atrezo ; sagoma di cespuglio ; decoratieheg ; бутафорский куст ; Green ; 1_0x0_5
0214 ; FtrHariboteMountain ; mountain standee ; ハリボテのやま ; 假山道具 ; 假山道具 ; 연극용 산 ; colline en carton ; Papphügel ; montaña de atrezo ; sagoma di collina ; decoratieberg ; бутафорские горы ; Green ; 2_0x1_0
0215 ; FtrHariboteTree ; tree standee ; ハリボテのき ; 假樹道具 ; 假树道具 ; 연극용 나무 ; arbre en carton ; Pappbaum ; árbol de atrezo ; sagoma di albero ; decoratieboom ; бутафорское дерево ; Green ; 2_0x1_0
0216 ; FtrBedHospital ; hospital bed ; びょういんのベッド ; 病床 ; 病床 ; 병원 침대 ; lit d'hôpital ; Krankenhausbett ; cama para pacientes ; letto d'ospedale ; ziekenhuisbed ; больничная койка ; White ; 2_0x1_0
0219 ; FtrDrip ; IV drip ; てんてき ; 點滴架 ; 点滴架 ; 링거 ; perfusion ; Infusionsständer ; gotero de hospital ; portaflebo ; infuus ; капельница ; Gray ; 1_0x1_0
021A ; FtrExaminationbed ; exam table ; しんさつだい ; 診療床 ; 诊疗床 ; 진찰대 ; table d'examen ; Untersuchungsliege ; camilla de hospital ; lettino medico ; onderzoekstafel ; кушетка ; White ; 2_0x1_0
021F ; FtrOperationtool ; operating-room cart ; いりょうワゴン ; 醫療推車 ; 医疗推车 ; 수술실 카트 ; chariot médical ; OP-Beistellwagen ; equipo quirúrgico ; carrello per chirurgia ; operatiekarretje ; операционная тележка ; Gray ; 1_0x1_0
0222 ; FtrStadiometer ; stadiometer ; しんちょうけい ; 身高尺 ; 身高尺 ; 신장 측정기 ; toise ; Stadiometer ; estadiómetro ; misuratore di altezza ; meter ; ростомер ; Black ; 1_0x1_0
0223 ; FtrSterilizer ; washbasin ; てあらい ; 洗手台 ; 洗手台 ; 병원 세면대 ; bassine ; Waschschüssel ; palangana de hospital ; bacinella ; waskom ; умывальный таз ; Gray ; 1_0x1_0
0298 ; FtrBeachbed ; beach chair ; ビーチベッド ; 沙灘躺椅 ; 沙滩躺椅 ; 선베드 ; transat ; Sonnenstuhl ; silla de playa ; sedia a sdraio ; strandstoel ; шезлонг ; White ; 2_0x1_0
0299 ; FtrTetrapod ; wave breaker ; しょうはブロック ; 消波塊 ; 消波块 ; 방파제 블록 ; brise-lames ; Wellenbrecher ; rompeolas ; frangionde ; golfbreker ; волнорез ; Gray ; 2_0x2_0
029B ; FtrIcemachine ; shaved-ice maker ; かきごおりき ; 刨冰機 ; 刨冰机 ; 팥빙수 기계 ; râpe-glace ; Eismaschine ; picadora de hielo ; tritaghiaccio ; ijsschaafmachine ; прибор для строган. льда ; LightBlue ; 1_0x1_0
029D ; FtrUkulele ; ukulele ; ウクレレ ; 烏克麗麗 ; 乌克丽丽 ; 우쿨렐레 ; ukulélé ; Ukulele ; ukelele ; ukulele ; ukelele ; укулеле ; Beige ; 1_0x1_0
02A4 ; FtrStonelantern ; tall lantern ; とうろう ; 石燈籠 ; 石灯笼 ; 석등 ; lanterne haute ; Mega-Laterne ; farol alto ; lanterna alta ; hoge lantaarn ; высокий фонарь ; Gray ; 1_0x1_0
02A5 ; FtrShishiodoshi ; deer scare ; ししおどし ; 竹流水造景 ; 竹流水造景 ; 대나무 분수 ; jeu d'eau ; Wasserspiel ; fuente de bambú ; fontana di bambù ; waterspeelgoed ; фонтан из бамбука ; Green ; 1_0x1_0
02AA ; FtrBoomerang ; boomerang ; ブーメラン ; 迴力鏢 ; 飞旋镖 ; 부메랑 ; boomerang ; Bumerang ; bumerán ; boomerang ; boemerang ; бумеранг ; Brown ; 1_0x0_5_Wall
02AB ; FtrBottleship ; bottled ship ; ボトルシップ ; 瓶中船 ; 瓶中船 ; 보틀쉽 ; bateau bouteille ; Flaschenschiff ; barco en botella ; modellino di nave ; flessenscheepje ; корабль в бутылке ; LightBlue ; 1_0x1_0
02AD ; FtrDalecarlianhorse ; Dala horse ; ダーラヘスト ; 達拉木馬 ; 达拉木马 ; 달라헤스트 ; cheval de Dala ; Dalapferd ; caballo de Dalecarlia ; cavallo Dala ; Dalapaard ; даларнская лошадка ; Red ; 1_0x1_0
02B0 ; FtrGojyu ; pagoda ; ごじゅうのとう ; 五重塔 ; 五重塔 ; 5층탑 ; pagode ; Pagode ; pagoda ; pagoda ; pagode ; пагода ; Green ; 1_5x1_5
02B1 ; FtrHarikoTiger ; paper tiger ; はりこのとら ; 紙老虎 ; 纸老虎 ; 종이호랑이 ; tigre en papier ; Papiertiger ; tigre de papel ; tigre di carta ; papieren tijger ; тигр из папье-маше ; Yellow ; 1_0x1_0
02B2 ; FtrHuladoll ; hula doll ; フラダンスにんぎょう ; 草裙舞娃娃 ; 草裙舞娃娃 ; 훌라 댄스 인형 ; poupée hawaïenne ; Hula-Puppe ; muñeca hawaiana ; bambola hawaiana ; hoela-pop ; гавайская кукла ; Colorful ; 1_0x1_0
02B5 ; FtrLiberty ; Statue of Liberty ; じゆうのめがみ ; 自由女神像 ; 自由女神像 ; 자유의 여신상 ; statue de la Liberté ; Freiheitsstatue ; estatua de la Libertad ; Statua della Libertà ; Vrijheidsbeeld ; статуя Свободы ; Green ; 1_0x1_0
02BA ; FtrMoai ; moai statue ; モアイ ; 摩艾石像 ; 摩艾石像 ; 모아이 ; statue Moai ; Moai-Statue ; moái ; statua Moai ; moai-beeld ; статуя моаи ; Gray ; 2_0x2_0
02BC ; FtrPisa ; Tower of Pisa ; ピサのしゃとう ; 比薩斜塔 ; 比萨斜塔 ; 피사의 사탑 ; Tour de Pise ; Turm von Pisa ; Torre de Pisa ; torre di Pisa ; Toren van Pisa ; Пизанская башня ; Beige ; 1_0x1_0
02C0 ; FtrTapestry ; tapestry ; タペストリー ; 壁毯 ; 壁毯 ; 태피스트리 ; tapisserie ; Wandteppich ; tapiz ; arazzo ; wandtapijt ; гобелен ; Red ; 1_0x1_5_Wall
02C6 ; FtrBambooChairL ; bamboo bench ; たけのベンチ ; 竹長椅 ; 竹长凳 ; 대나무 벤치 ; banc en bambou ; Bambusbank ; banco de bambú ; panca di bambù ; bamboebank ; лавка из бамбука ; Green ; 2_0x1_0
02CC ; FtrScreenByoubu ; screen ; びょうぶ ; 屏風 ; 屏风 ; 병풍 ; paravent ; Paravent ; biombo ; paravento ; kamerscherm ; ширма ; Yellow ; 2_0x1_0
02CD ; FtrKitchenKamado ; clay furnace ; かまどのキッチン ; 爐灶廚房 ; 炉灶厨房 ; 아궁이 부엌 ; four en terre cuite ; Kochstelle ; chimenea de terracota ; forno di terracotta ; keramieken oven ; печь для обжига ; Beige ; 2_0x1_0
02D2 ; FtrIrori ; hearth ; いろり ; 地爐 ; 地炉 ; 노 ; âtre ; Kochfeuer ; hogar ; focolare ; kookplaats ; кострище ; Brown ; 2_0x2_0
02D4 ; FtrKettleJapan ; kettle ; やかん ; 燒水壺 ; 烧水壶 ; 주전자 ; bouilloire ; Wasserkessel ; tetera ; bollitore ; ronde waterketel ; чайник ; Yellow ; 1_0x1_0
02D5 ; FtrLampJapan ; paper lantern ; あんどん ; 方形紙罩座燈 ; 方形纸罩座灯 ; 사방등 ; lanterne en papier ; Papierlaterne ; farolillo ; lanterna di carta ; papieren lantaarn ; бумажный фонарь ; Beige ; 1_0x1_0
02D9 ; FtrGardenrock ; garden rock ; よくあるにわいし ; 常見庭園石 ; 常见庭院石 ; 평범한 정원 돌 ; petit rocher jardin ; Gartenstein ; roca gruesa ; pietra da giardino ; rots ; валун ; Gray ; 1_0x1_0
02DA ; FtrGardenrockTall ; tall garden rock ; たかいにわいし ; 高聳庭園石 ; 高耸庭院石 ; 키가 큰 정원 돌 ; grand rocher jardin ; Gartenfels ; roca alta ; pietra da giardino alta ; rotsenduo ; высокий валун ; Gray ; 1_0x1_0
02DF ; FtrBroadcastingTableLow ; low folding table ; おりたたみローテーブル ; 折疊矮桌 ; 折叠矮桌 ; 접이식 낮은 테이블 ; table basse pliante ; Niedrig-Klapptisch ; mesa plegable baja ; tavolo richiudibile basso ; lage vouwtafel ; низкий складной стол ; Beige ; 2_0x1_0
02E3 ; FtrDiningtableJapan ; tea table ; ちゃぶだい ; 茶几 ; 茶几 ; 낮은 밥상 ; table à thé ; Teetischchen ; mesita ; tavolo da tè ; theetafel ; чайный стол ; Brown ; 2_0x2_0
02E5 ; FtrHandrail ; safety railing ; てすり ; 扶手 ; 扶手 ; 난간 ; rampe de sécurité ; Sicherheitsgeländer ; barandilla de seguridad ; parapetto protettivo ; veiligheidsreling ; защитные поручни ; Beige ; 2_0x0_5
02E6 ; FtrFireplace ; fireplace ; だんろ ; 壁爐 ; 壁炉 ; 난로 ; cheminée ; Kamin ; chimenea ; caminetto ; open haard ; камин ; Orange ; 2_0x1_0
02E7 ; FtrIceSnowball ; frozen mini snowperson ; こおりのミニゆきだるま ; 迷你雪人冰雕 ; 冰冻迷你雪人 ; 얼음 미니 눈사람 ; bonhomme neige arctique ; Eis-Minischneemann ; muñeco de nieve iceberg ; minipupazzo iceberg ; mini-sneeuwpop ; ледяной мини-снеговик ; LightBlue ; 1_0x1_0
02E8 ; FtrKitchenCompact ; compact kitchen ; コンパクトキッチン ; 小巧廚房 ; 小巧厨房 ; 콤팩트 키친 ; kitchenette compacte ; Kompaktküche ; cocina compacta ; cucina compatta ; compacte keuken ; компактная кухня ; Beige ; 1_0x1_0
02FD ; FtrFlowerFountain ; flower planter ; はなちょうず ; 花手水 ; 花手水 ; 꽃이 든 물 항아리 ; pot de fleurs ; Blumenkübel ; maceta con flores ; vaso per piante con fiori ; bloempot ; горшок с цветами ; Brown ; 1_0x1_0
02FE ; FtrMarbleClockW ; marble wall clock ; だいりせきのかべかけどけい ; 大理石壁掛鐘 ; 大理石壁挂钟 ; 대리석 벽시계 ; horloge murale en marbre ; Marmorwanduhr ; reloj de pared de mármol ; orologio di marmo ; marmeren klok ; мраморн. настенные часы ; White ; 1_0x1_0_Wall
02FF ; FtrWireLamp ; tubular lamp ; ワイヤーなランプ ; 鋼絲燈 ; 钢丝灯 ; 와이어 램프 ; lampe tubulaire ; Alurohr-Lampe ; lámpara tubular ; lampada tubolare ; buizenlamp ; лампа из трубок ; Gray ; 1_0x1_0
0301 ; FtrBookshelfWall ; wall-mounted bookshelf ; かべかけほんだな ; 壁掛書架 ; 壁挂书架 ; 벽걸이 책장 ; étagère murale livres ; Wandbücherbrett ; estante librería para pared ; mensola per libri ; wandplank ; настенная книжная полка ; Yellow ; 2_0x1_0_Wall
0302 ; FtrWireChairS ; tubular chair ; ワイヤーなチェア ; 鋼絲椅 ; 钢丝椅 ; 와이어 체어 ; chaise tubulaire ; Alurohr-Stuhl ; asiento tubular ; sedia tubolare ; buizenstoel ; стул из трубок ; Gray ; 1_0x1_0
0304 ; FtrMarbleFireplace ; marble fireplace ; だいりせきのだんろ ; 大理石壁爐 ; 大理石壁炉 ; 대리석 난로 ; cheminée en marbre ; Marmorkamin ; chimenea de mármol ; caminetto di marmo ; marmeren open haard ; мраморный камин ; White ; 2_0x1_0
030D ; FtrPampasgrass ; pampas grass ; パンパスグラス ; 蒲葦 ; 蒲苇 ; 팜파스 그래스 ; vase de pampalunes ; Pampasgras ; jarrón hierba otoñal ; vaso di piume della pampa ; pampasgras ; пампасная трава ; Beige ; 1_0x1_0
0313 ; FtrRadicase ; tape deck ; ラジカセ ; 卡帶收音機 ; 磁带录音机 ; 카세트라디오 ; cassettophone ; Radiorekorder ; radiocasete ; radio ; cassettespeler ; магнитофон ; Gray ; 1_0x1_0
0316 ; FtrComponentHighclass ; hi-fi stereo ; こうきゅうコンポ ; 高級音響 ; 高级音响 ; 고급 오디오 ; chaîne hi-fi ; Hi-Fi-Anlage ; cadena hi-fi ; stereo hi-fi ; hifi-installatie ; стереосистема Hi-Fi ; Gray ; 2_0x1_0
0317 ; FtrJukebox ; jukebox ; ジュークボックス ; 點唱機 ; 点唱机 ; 주크박스 ; juke-box ; Musikbox ; gramola ; jukebox ; jukebox ; музыкальный автомат ; Red ; 1_0x1_0
0319 ; FtrComponentPro ; high-end stereo ; マルチコンポ ; 多媒體音響 ; 多媒体音响 ; 멀티 오디오 ; hi-fi stéréo ; Highend-Anlage ; cadena de lujo ; stereo moderno ; luxe stereo ; музыкальный центр ; Black ; 2_0x1_0
031A ; FtrPhonograph ; phonograph ; ちくおんき ; 留聲機 ; 留声机 ; 축음기 ; phonographe ; Grammofon ; fonógrafo ; fonografo ; fonograaf ; граммофон ; Yellow ; 1_0x1_0
031C ; FtrStereoRetro ; retro stereo ; レトロなステレオ ; 復古立體音響 ; 复古立体音响 ; 복고풍 스테레오 ; hi-fi rétro ; Retro-Anlage ; cadena retro ; stereo rétro ; retrostereo ; радиола ; Brown ; 2_0x1_0
0325 ; FtrMushroomLamp ; mush lamp ; キノコのランプ ; 蘑菇燈 ; 蘑菇灯 ; 버섯 램프 ; lampe champi ; Pilzlampe ; lámpara hongo ; lampada fungo ; paddenstoellamp ; гриб-лампа ; Brown ; 1_0x1_0
0327 ; FtrMarbleKitchen ; marble kitchen island ; だいりせきのキッチン ; 大理石廚房 ; 大理石厨房 ; 대리석 키친 ; îlot de cuisine en marbre ; Marmorkücheninsel ; isla de cocina de mármol ; isola da cucina di marmo ; marmeren keukeneiland ; мрам. кухонный островок ; White ; 2_0x2_0
0328 ; FtrMushroomTableL ; mush table ; キノコのテーブル ; 蘑菇桌 ; 蘑菇桌 ; 버섯 테이블 ; table champi ; Pilztisch ; mesa hongo ; tavolo fungo ; paddenstoeltafel ; гриб-стол ; Brown ; 2_0x2_0
0331 ; FtrJapanesemodernCabinet ; artful shelves ; わふうモダンなかざりだな ; 和風摩登裝飾架 ; 现代和风装饰架 ; 동양풍 모던 쉘프 ; commode intemporelle ; Zeitlosregal ; aparador de melamina ; credenza concettuale ; modieuze kast ; утонченный комод ; Beige ; 2_0x1_0
0336 ; FtrMarbleTableL ; marble table ; だいりせきのテーブル ; 大理石桌 ; 大理石桌 ; 대리석 테이블 ; table en marbre ; Marmortisch ; mesa de mármol ; tavolo di marmo ; marmeren tafel ; мраморный стол ; White ; 2_0x2_0
0340 ; FtrOfficeChair ; modern office chair ; オフィスのチェア ; 辦公室椅子 ; 办公室椅子 ; 사무용 의자 ; fauteuil pro ; Profi-Bürostuhl ; sillón de oficina ; sedia da ufficio ; moderne kantoorstoel ; соврем. офисное кресло ; Blue ; 1_0x1_0
0341 ; FtrLocker ; upright locker ; ロッカー ; 置物櫃 ; 置物柜 ; 캐비닛 ; casier individuel ; Spind ; taquilla de vestuario ; armadietto ; sportkluisje ; шкафчик ; Gray ; 1_0x1_0
0347 ; FtrSafebox ; safe ; きんこ ; 保險箱 ; 保险箱 ; 금고 ; coffre-fort ; Safe ; caja fuerte ; cassaforte ; kluis ; сейф ; Gray ; 1_0x1_0
0348 ; FtrOfficeTable ; office desk ; オフィスのデスク ; 辦公室桌子 ; 办公室桌子 ; 사무용 책상 ; bureau pro ; Bürotisch ; mesa de oficina ; scrivania da ufficio ; kantoorbureau ; офисный стол ; White ; 2_0x1_0
034B ; FtrMarbleWashstand ; marble vanity ; だいりせきのせんめんだい ; 大理石洗臉台 ; 大理石洗脸台 ; 대리석 세면대 ; lavabo en marbre ; Marmorwaschbecken ; lavabo de mármol ; toletta di marmo ; marmeren wasbak ; мраморная раковина ; White ; 2_0x1_0
034E ; FtrAltosax ; alto saxophone ; アルトサックス ; 中音薩克斯風 ; 中音萨克斯风 ; 알토 색소폰 ; saxophone alto ; Saxofon ; saxofón ; sax contralto ; altsaxofoon ; альтовый саксофон ; Yellow ; 1_0x1_0
0351 ; FtrAmp ; amp ; アンプ ; 擴音器 ; 扩音器 ; 앰프 ; ampli ; Verstärker ; amplificador ; amplificatore ; versterker ; усилитель ; Black ; 1_0x1_0
0356 ; FtrWireShelf ; tubular shelves ; ワイヤーなシェルフ ; 鋼絲架子 ; 钢丝架子 ; 와이어 쉘프 ; présentoir tubulaire ; Alurohr-Regal ; estantería tubular ; libreria tubolare ; buizenkast ; полка из трубок ; Gray ; 1_0x1_0
0358 ; FtrCutlery ; cutlery ; カトラリー ; 西式餐具 ; 西式餐具 ; 커틀러리 ; set de couverts ; Besteck ; servicio de cubiertos ; piatto con posate ; bestek ; столовые приборы ; Gray ; 1_0x1_0
035A ; FtrGrasspitcher ; glass pitcher ; ガラスピッチャー ; 玻璃水壺 ; 玻璃水壶 ; 글래스 피처 ; cruche en verre ; Karaffe ; jarra de cristal ; caraffa di cristallo ; glazen kan ; стеклянный кувшин ; LightBlue ; 1_0x1_0
035B ; FtrAsianLanternArch ; colorful-lantern arch ; カラフルランタンのアーチ ; 彩色燈籠拱門 ; 彩色灯笼拱门 ; 컬러풀 랜턴 아치 ; arche à lampions colorés ; Buntlaternentor ; arco de farolillos de colores ; arco con lanterne ; kleurrijke lantaarnpoort ; арка с цветными лампами ; Beige ; 3_0x1_0
035E ; FtrKidsSeesaw ; kiddie seesaw ; キッズシーソー ; 兒童蹺蹺板 ; 儿童跷跷板 ; 어린이용 시소 ; balançoire à bascule ; Juniorwippe ; balancín infantil ; altalena bimbi ; kinderwip ; детская качалка ; Yellow ; 2_0x1_0
035F ; FtrBilliard ; billiard table ; ビリヤードのだい ; 撞球桌 ; 撞球桌 ; 당구대 ; billard ; Billardtisch ; mesa de billar ; tavolo da biliardo ; biljarttafel ; бильярдный стол ; Green ; 2_0x1_0
0360 ; FtrBingo ; bingo wheel ; ビンゴマシン ; 搖獎機 ; 摇奖机 ; 빙고 머신 ; sphère pour tirage ; Zahlenkugel-Maschine ; bombo de bingo ; urna per estrazioni ; bingomolen ; лотерейный барабан ; Yellow ; 1_0x1_0
0361 ; FtrBirdcage ; birdcage ; とりかご ; 鳥籠 ; 鸟笼 ; 새장 ; cage à oiseau ; Vogelkäfig ; jaula de pájaros ; gabbia ; vogelkooi ; птичья клетка ; Brown ; 1_0x1_0
0363 ; FtrBonbori ; blossom lantern ; ぼんぼり ; 紙燈籠 ; 纸灯笼 ; 꽃그림 육면등 ; lampe fleurie ; Blütenlampe ; lámpara bonbori ; lanterna floreale ; bloesemlamp ; лампа с цветами ; White ; 1_0x1_0
0366 ; FtrBookstand ; book stands ; ブックスタンド ; 書擋 ; 书挡 ; 북엔드 ; serre-livres ; Buchstütze ; sujetalibros ; coppia di fermalibri ; boekensteunen ; подставки для книг ; White ; 1_0x1_0
036B ; FtrBreaker ; breaker ; ブレーカー ; 電源總開關 ; 电源总开关 ; 전원 차단기 ; disjoncteur ; Sicherungskasten ; interruptor ; quadro interruttori ; zekeringkast ; электрощит ; White ; 1_0x1_0_Wall
0370 ; FtrBucketWood ; wooden bucket ; もくせいのバケツ ; 木製水桶 ; 木制水桶 ; 나무 양동이 ; seau en bois ; Holzeimer ; cubo de madera ; secchio di legno ; houten emmer ; деревянное ведро ; Brown ; 1_0x1_0
0379 ; FtrKocher ; camp stove ; コッフェル ; 露營爐具 ; 露营炉具 ; 코펠 ; réchaud de camping ; Campingkocher ; hornillo de acampada ; fornello da campeggio ; campinggasstel ; примус ; Yellow ; 1_0x1_0
037B ; FtrCandleXmas ; holiday candle ; クリスマスキャンドル ; 聖誕蠟燭 ; 圣诞蜡烛 ; 크리스마스 양초 ; chandelle de fête ; Festtagsgesteck ; vela festiva ; candela centrotavola ; feestelijke kaars ; праздничная свеча ; Red ; 1_0x1_0
0380 ; FtrCattower ; cat tower ; キャットタワー ; 貓跳台 ; 猫跳台 ; 캣타워 ; arbre à chat ; Kratzbaum ; torre para gatos ; torre per gatti ; kattenpaal ; башня для кошек ; Beige ; 1_0x1_0
0388 ; FtrWireTableL ; tubular table ; ワイヤーなテーブル ; 鋼絲桌 ; 钢丝桌 ; 와이어 테이블 ; table tubulaire ; Alurohr-Tisch ; mesa tubular ; tavolo tubolare ; buizentafel ; стол из трубок ; Gray ; 2_0x2_0
